cst,coeff.
1,0.178
2,0.235
3,0.276
4,0.31
5,0.339
10,0.447
15,0.525
20,0.589
25,0.644
30,0.693
38,0.762
50,0.85
65,0.944
76,1.005
114,1.1852
150,1.32
200,1.48
250,1.619
300,1.741
350,1.852
400,1.953
450,2.048
500,2.136
600,2.297
760,2.525
864,2.658
1000,2.818
1100,2.928
1200,3.031
1300,3.13
1400,3.224
1500,3.314
2000,3.719
2500,4.065
3000,4.373
4000,4.907
5000,5.365
6000,5.771
7000,6.138
8000,6.475
9000,6.787
10000,7.079
11000,7.354
12000,7.615
13000,7.862
14000,8.099
15000,8.326
16000,9.543
17000,8.753
18000,8.955
19000,9.151
20000,9.341
21000,9.525
22000,9.704
23000,9.878
24000,10.048
25000,10.213
30000,10.986
40000,12.325
50000,13.476
60000,14.496
70000,15.418
80000,16.263
90000,17.048
1.00E+05,17.782
1.50E+05,20.913
2.00E+05,23.463
2.50E+05,25.654
3.00E+05,27.595
3.50E+05,29.35
4.00E+05,30.95
4.50E+05,32.453
5.00E+05,33.85
5.50E+05,35.166
7.50E+05,39.811
1.00E+06,44.666